:LABEL,id,ifc_type,profile_type,x_dim,y_dim
IfcRectangleProfileDef,#9466,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9471,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9476,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9481,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9486,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9491,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9496,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9501,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9506,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9511,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9516,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9521,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9526,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000081,0.02499999999999973
IfcRectangleProfileDef,#9541,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9548,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9555,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9562,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9569,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9576,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220039,0.02500000000000081
IfcRectangleProfileDef,#9583,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9590,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9597,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9604,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9611,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9618,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9625,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220056,0.02500000000000081
IfcRectangleProfileDef,#9632,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220141,0.02500000000000081
IfcRectangleProfileDef,#9639,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9646,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9653,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9660,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9667,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9674,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9681,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9688,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9695,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9702,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9709,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9716,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9723,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9730,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#9737,IFCRECTANGLEPROFILEDEF,AREA,0.03162895232220142,0.02500000000000081
IfcRectangleProfileDef,#12576,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#12978,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#13333,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#13687,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#14042,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#14396,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#14751,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#15105,IFCRECTANGLEPROFILEDEF,AREA,1.800312500000111,0.7618999999999992
IfcRectangleProfileDef,#15877,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999994,2.032
IfcRectangleProfileDef,#15920,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999998,0.051
IfcRectangleProfileDef,#15991,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999995,2.032
IfcRectangleProfileDef,#16042,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999994,2.032
IfcRectangleProfileDef,#16093,IFCRECTANGLEPROFILEDEF,AREA,0.8639999999999994,2.032
IfcRectangleProfileDef,#16375,IFCRECTANGLEPROFILEDEF,AREA,0.01905000000000049,0.9999999999999996
IfcRectangleProfileDef,#16382,IFCRECTANGLEPROFILEDEF,AREA,1.0,0.6249999999999998
IfcRectangleProfileDef,#16504,IFCRECTANGLEPROFILEDEF,AREA,0.01905000000000049,4.023999999999999
IfcRectangleProfileDef,#16511,IFCRECTANGLEPROFILEDEF,AREA,4.023999999999999,0.6249999999999998
IfcRectangleProfileDef,#17428,IFCRECTANGLEPROFILEDEF,AREA,0.4067999999999992,0.4067999999999995
IfcRectangleProfileDef,#17470,IFCRECTANGLEPROFILEDEF,AREA,0.4067999999999992,0.4067999999999995
IfcRectangleProfileDef,#17621,IFCRECTANGLEPROFILEDEF,AREA,1.626799999999999,0.7117999999999994
IfcRectangleProfileDef,#17660,IFCRECTANGLEPROFILEDEF,AREA,1.626799999999999,0.7117999999999994
IfcRectangleProfileDef,#21187,IFCRECTANGLEPROFILEDEF,AREA,4.16,1.523999999999994
IfcRectangleProfileDef,#21328,IFCRECTANGLEPROFILEDEF,AREA,4.160000000000009,1.524000000000014
IfcRectangleProfileDef,#21441,IFCRECTANGLEPROFILEDEF,AREA,5.809000000000004,2.229999999999953
IfcRectangleProfileDef,#21489,IFCRECTANGLEPROFILEDEF,AREA,1.456000000000002,2.171000000000033
IfcRectangleProfileDef,#21537,IFCRECTANGLEPROFILEDEF,AREA,2.171000000000046,1.456000000000005
IfcRectangleProfileDef,#21650,IFCRECTANGLEPROFILEDEF,AREA,5.808999999999989,2.229999999999965
IfcRectangleProfileDef,#21697,IFCRECTANGLEPROFILEDEF,AREA,0.8129999999999996,2.42
IfcRectangleProfileDef,#21740,IFCRECTANGLEPROFILEDEF,AREA,0.6089999999999998,0.006350000000000012
IfcRectangleProfileDef,#21907,IFCRECTANGLEPROFILEDEF,AREA,0.8129999999999995,2.42
IfcRectangleProfileDef,#21958,IFCRECTANGLEPROFILEDEF,AREA,2.409999999999996,2.8
IfcRectangleProfileDef,#22010,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#22062,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#22114,IFCRECTANGLEPROFILEDEF,AREA,0.7590000000000007,0.8189999999999998
IfcRectangleProfileDef,#22166,IFCRECTANGLEPROFILEDEF,AREA,2.409999999999996,2.8
IfcRectangleProfileDef,#22218,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#22270,IFCRECTANGLEPROFILEDEF,AREA,0.7590000000000007,0.8189999999999998
IfcRectangleProfileDef,#22322,IFCRECTANGLEPROFILEDEF,AREA,0.7589999999999981,0.8189999999999995
IfcRectangleProfileDef,#22374,IFCRECTANGLEPROFILEDEF,AREA,2.199999999999996,0.7499999999999996
IfcRectangleProfileDef,#22426,IFCRECTANGLEPROFILEDEF,AREA,2.199999999999996,0.7499999999999996
IfcRectangleProfileDef,#22480,IFCRECTANGLEPROFILEDEF,AREA,7.965999999999998,16.96599999999997
IfcRectangleProfileDef,#22496,IFCRECTANGLEPROFILEDEF,AREA,1.029099999999999,1.081099999999958
IfcRectangleProfileDef,#22510,IFCRECTANGLEPROFILEDEF,AREA,1.0291,1.081099999999959
IfcRectangleProfileDef,#22523,IFCRECTANGLEPROFILEDEF,AREA,1.0291,1.08109999999996
IfcRectangleProfileDef,#22536,IFCRECTANGLEPROFILEDEF,AREA,1.029099999999999,1.08109999999996
IfcRectangleProfileDef,#22656,IFCRECTANGLEPROFILEDEF,AREA,8.800000000000002,0.4170000000000001
IfcRectangleProfileDef,#22701,IFCRECTANGLEPROFILEDEF,AREA,17.38299999999997,0.4170000000000005
IfcRectangleProfileDef,#22746,IFCRECTANGLEPROFILEDEF,AREA,8.382999999999974,0.4170000000000005
IfcRectangleProfileDef,#22791,IFCRECTANGLEPROFILEDEF,AREA,16.96599999999997,0.4170000000000001
IfcRectangleProfileDef,#23278,IFCRECTANGLEPROFILEDEF,AREA,18.28299999999998,0.9
IfcRectangleProfileDef,#23361,IFCRECTANGLEPROFILEDEF,AREA,8.382999999999974,0.9000000000000012
IfcRectangleProfileDef,#23400,IFCRECTANGLEPROFILEDEF,AREA,17.38299999999998,0.9000000000000001
IfcRectangleProfileDef,#23438,IFCRECTANGLEPROFILEDEF,AREA,7.483000000000002,0.9
IfcRectangleProfileDef,#23477,IFCRECTANGLEPROFILEDEF,AREA,4.1915,0.9000000000000001
IfcRectangleProfileDef,#23516,IFCRECTANGLEPROFILEDEF,AREA,2.200000000000028,0.9000000000000001
IfcRectangleProfileDef,#23554,IFCRECTANGLEPROFILEDEF,AREA,3.291499999999991,0.899999999999999
IfcRectangleProfileDef,#24578,IFCRECTANGLEPROFILEDEF,AREA,4.352999999999985,0.1520000000000001
IfcRectangleProfileDef,#24673,IFCRECTANGLEPROFILEDEF,AREA,2.143000000000042,0.1520000000000001
IfcRectangleProfileDef,#24716,IFCRECTANGLEPROFILEDEF,AREA,1.456000000000002,0.124
IfcRectangleProfileDef,#24761,IFCRECTANGLEPROFILEDEF,AREA,2.295000000000026,0.1520000000000001
IfcRectangleProfileDef,#24806,IFCRECTANGLEPROFILEDEF,AREA,4.201,0.1520000000000001
IfcRectangleProfileDef,#31424,IFCRECTANGLEPROFILEDEF,AREA,4.160000000000006,0.1520000000000001
IfcRectangleProfileDef,#31469,IFCRECTANGLEPROFILEDEF,AREA,4.159999999999996,0.1520000000000001
IfcRectangleProfileDef,#31949,IFCRECTANGLEPROFILEDEF,AREA,0.9144,0.01250000000000041
IfcRectangleProfileDef,#31956,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31963,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31970,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31977,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31984,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31991,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#31998,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32005,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32012,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32019,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32026,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32033,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32040,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32047,IFCRECTANGLEPROFILEDEF,AREA,0.9144,0.01250000000000041
IfcRectangleProfileDef,#32054,IFCRECTANGLEPROFILEDEF,AREA,0.9143999999999998,0.01250000000000041
IfcRectangleProfileDef,#32370,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32375,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32380,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32385,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32390,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32395,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32400,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32405,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32410,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
