:LABEL,id,ifc_type,x,y,z
IfcCartesianPoint,#519,IFCCARTESIANPOINT,0.1377695999999968,0.0,0
IfcCartesianPoint,#520,IFCCARTESIANPOINT,0.1377695999999986,0.02599999999999625,0
IfcCartesianPoint,#521,IFCCARTESIANPOINT,1.337769599999994,0.02599999999999891,0
IfcCartesianPoint,#522,IFCCARTESIANPOINT,1.337769599999994,-0.03600000000000136,0
IfcCartesianPoint,#523,IFCCARTESIANPOINT,1.337769599999996,-0.09800000000000164,0
IfcCartesianPoint,#524,IFCCARTESIANPOINT,4.920769599999989,-0.09799999999999631,0
IfcCartesianPoint,#525,IFCCARTESIANPOINT,4.920769599999996,-2.156999999999973,0
IfcCartesianPoint,#526,IFCCARTESIANPOINT,-0.6372304,-2.156999999999982,0
IfcCartesianPoint,#527,IFCCARTESIANPOINT,-0.6372304000000071,-1.142599999999975,0
IfcCartesianPoint,#528,IFCCARTESIANPOINT,-0.8962304000000021,-1.142599999999976,0
IfcCartesianPoint,#529,IFCCARTESIANPOINT,-0.8962304000000021,-1.132599999999983,0
IfcCartesianPoint,#530,IFCCARTESIANPOINT,-4.387230400000007,-1.132599999999989,0
IfcCartesianPoint,#531,IFCCARTESIANPOINT,-4.387230400000009,-0.1240000000000041,0
IfcCartesianPoint,#532,IFCCARTESIANPOINT,-1.662230400000004,-0.1239999999999997,0
IfcCartesianPoint,#533,IFCCARTESIANPOINT,-1.662230400000006,-0.06200000000000117,0
IfcCartesianPoint,#534,IFCCARTESIANPOINT,-1.467230399999972,-0.06199999999999939,0
IfcCartesianPoint,#535,IFCCARTESIANPOINT,-1.467230399999972,-0.0,0
IfcCartesianPoint,#541,IFCCARTESIANPOINT,6.349999999999999,-10.99500000000004,0.0
IfcCartesianPoint,#542,IFCCARTESIANPOINT,0.06200000000000028,0.0,0
IfcCartesianPoint,#543,IFCCARTESIANPOINT,0.0619999999999985,0.6870000000000065,0
IfcCartesianPoint,#544,IFCCARTESIANPOINT,0.0619999999999985,0.9420000000000179,0
IfcCartesianPoint,#545,IFCCARTESIANPOINT,-0.0,0.9420000000000179,0
IfcCartesianPoint,#550,IFCCARTESIANPOINT,6.288000000000003,-8.075000000000003,0.0
IfcCartesianPoint,#551,IFCCARTESIANPOINT,0.06200000000000028,0.0,0
IfcCartesianPoint,#552,IFCCARTESIANPOINT,0.0619999999999985,1.216000000000015,0
IfcCartesianPoint,#553,IFCCARTESIANPOINT,-0.0,1.216000000000015,0
IfcCartesianPoint,#558,IFCCARTESIANPOINT,6.323999999999996,-17.38299999999999,0.0
IfcCartesianPoint,#559,IFCCARTESIANPOINT,0.06200000000000028,0.0,0
IfcCartesianPoint,#560,IFCCARTESIANPOINT,0.06199999999999584,3.582999999999991,0
IfcCartesianPoint,#561,IFCCARTESIANPOINT,-0.0,3.582999999999991,0
IfcCartesianPoint,#569,IFCCARTESIANPOINT,6.225999999999999,-12.6,0.019
