:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#6941,IFCPROPERTYSINGLEVALUE,Sash,,Sash,Sash
IfcPropertySingleValue,#6942,IFCPROPERTYSINGLEVALUE,Default Sill Height,0.1,Default Sill Height,
IfcPropertySingleValue,#6943,IFCPROPERTYSINGLEVALUE,Width,0.7500000000000001,Width,
IfcPropertySingleValue,#6944,IFCPROPERTYSINGLEVALUE,Window Inset,0.019,Window Inset,
IfcPropertySingleValue,#6945,IFCPROPERTYSINGLEVALUE,Manufacturer,,Manufacturer,Manufacturer
IfcPropertySingleValue,#6946,IFCPROPERTYSINGLEVALUE,Assembly Description,,Assembly Description,
IfcPropertySingleValue,#6947,IFCPROPERTYSINGLEVALUE,Assembly Code,,Assembly Code,
IfcPropertySingleValue,#6948,IFCPROPERTYSINGLEVALUE,Type Mark,,Type Mark,04
IfcPropertySingleValue,#6949,IFCPROPERTYSINGLEVALUE,Construction Type,,Construction Type,Construction Type
IfcPropertySingleValue,#6950,IFCPROPERTYSINGLEVALUE,AccessibilityPerformance,,AccessibilityPerformance,AccessibilityPerformance
IfcPropertySingleValue,#6951,IFCPROPERTYSINGLEVALUE,CodePerformance,,CodePerformance,CodePerformance
IfcPropertySingleValue,#6952,IFCPROPERTYSINGLEVALUE,ConfigurationType,,ConfigurationType,ConfigurationType
IfcPropertySingleValue,#6953,IFCPROPERTYSINGLEVALUE,ConstructionType,,ConstructionType,ConstructionType
IfcPropertySingleValue,#6954,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,FireRating
IfcPropertySingleValue,#6955,IFCPROPERTYSINGLEVALUE,GlazingAreaFraction,,GlazingAreaFraction,GlazingAreaFraction
IfcPropertySingleValue,#6956,IFCPROPERTYSINGLEVALUE,OperationType,,OperationType,OperationType
IfcPropertySingleValue,#6957,IFCPROPERTYSINGLEVALUE,Area,,Area,Area
IfcPropertySingleValue,#6958,IFCPROPERTYSINGLEVALUE,Color,,Color,Color
IfcPropertySingleValue,#6959,IFCPROPERTYSINGLEVALUE,Constituents,,Constituents,Constituents
IfcPropertySingleValue,#6960,IFCPROPERTYSINGLEVALUE,Features,,Features,Features
IfcPropertySingleValue,#6961,IFCPROPERTYSINGLEVALUE,Finish,,Finish,Finish
IfcPropertySingleValue,#6962,IFCPROPERTYSINGLEVALUE,Grade,,Grade,Grade
IfcPropertySingleValue,#6963,IFCPROPERTYSINGLEVALUE,Material,,Material,Material
IfcPropertySingleValue,#6964,IFCPROPERTYSINGLEVALUE,ModelReference,,ModelReference,ModelReference
IfcPropertySingleValue,#6965,IFCPROPERTYSINGLEVALUE,NominalHeight,,NominalHeight,NominalHeight
IfcPropertySingleValue,#6966,IFCPROPERTYSINGLEVALUE,NominalLength,,NominalLength,NominalLength
IfcPropertySingleValue,#6967,IFCPROPERTYSINGLEVALUE,NominalWidth,,NominalWidth,NominalWidth
IfcPropertySingleValue,#6968,IFCPROPERTYSINGLEVALUE,ProductionYear,,ProductionYear,ProductionYear
IfcPropertySingleValue,#6969,IFCPROPERTYSINGLEVALUE,Reference,,Reference,Reference
IfcPropertySingleValue,#6970,IFCPROPERTYSINGLEVALUE,Shape,,Shape,Shape
IfcPropertySingleValue,#6971,IFCPROPERTYSINGLEVALUE,Size,,Size,Size
IfcPropertySingleValue,#6972,IFCPROPERTYSINGLEVALUE,SustainabilityPerformance,,SustainabilityPerformance,SustainabilityPerformance
IfcPropertySingleValue,#6973,IFCPROPERTYSINGLEVALUE,WarrantyDescription,,WarrantyDescription,WarrantyDescription
IfcPropertySingleValue,#6974,IFCPROPERTYSINGLEVALUE,WarrantyDurationLabor,,WarrantyDurationLabor,WarrantyDurationLabor
IfcPropertySingleValue,#6975,IFCPROPERTYSINGLEVALUE,WarrantyDurationParts,,WarrantyDurationParts,WarrantyDurationParts
IfcPropertySingleValue,#6976,IFCPROPERTYSINGLEVALUE,WarrantyGuarantorLabor,,WarrantyGuarantorLabor,WarrantyGuarantorLabor
IfcPropertySingleValue,#6977,IFCPROPERTYSINGLEVALUE,WarrantyGuarantorParts,,WarrantyGuarantorParts,WarrantyGuarantorParts
IfcPropertySingleValue,#6978,IFCPROPERTYSINGLEVALUE,ExpectedLife,,ExpectedLife,ExpectedLife
IfcPropertySingleValue,#6979,IFCPROPERTYSINGLEVALUE,ReplacementCost,,ReplacementCost,ReplacementCost
IfcPropertySingleValue,#6980,IFCPROPERTYSINGLEVALUE,AssetAccountingType,,AssetAccountingType,FIXED
IfcPropertySingleValue,#6981,IFCPROPERTYSINGLEVALUE,ModelLabel,,ModelLabel,ModelLabel
IfcPropertySingleValue,#6982,IFCPROPERTYSINGLEVALUE,OmniClass Number,,OmniClass Number,23.30.20.17.11
IfcPropertySingleValue,#6983,IFCPROPERTYSINGLEVALUE,OmniClass Title,,OmniClass Title,Fixed Windows
IfcPropertySingleValue,#7026,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Fixed:750mm x 2200mm
IfcPropertySingleValue,#7027,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,FireRating
IfcPropertySingleValue,#7030,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 1
IfcPropertySingleValue,#7031,IFCPROPERTYSINGLEVALUE,Sill Height,0.1,Sill Height,
IfcPropertySingleValue,#7032,IFCPROPERTYSINGLEVALUE,Head Height,2.3,Head Height,
IfcPropertySingleValue,#7033,IFCPROPERTYSINGLEVALUE,Mark,,Mark,13
IfcPropertySingleValue,#7034,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#7035,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
